id,location_id,sales_id,features_id,assessorID,legalDescription,ownerOccupied,yearBuilt,zoning,propertyType,taxAssessment,propertyTaxes,subdivision
"7420-FM-2673,-Canyon-Lake,-TX-78133",0,0,0,Uknown,unknown,0.0,0.0,unknown,unknown,{},unknown,unknown
"1350-Hinch-Dr,-New-Braunfels,-TX-78132",1,0,1,780939000689,unknown,0.0,1994.0,unknown,Apartment,{},unknown,unknown
"1200-Hinch-Dr,-New-Braunfels,-TX-78132",2,0,2,78-0939-0006-89,"A-939 SUR-804 H LUEHLFING, IMPROVEMENT ONLY LABEL# TEX0505926, SN1 V400164 IMPROVEMENT ONLY",1.0,2023.0,unknown,Manufactured,"{'2019': {'value': 10750, 'improvements': 10750}, '2022': {'value': 10750, 'improvements': 10750}, '2023': {'value': 10750, 'improvements': 10750}}","{'2018': {'total': 178}, '2019': {'total': 136}, '2022': {'total': 120}}",H LUEHLFING
"1340-Hinch-Dr,-New-Braunfels,-TX-78132",3,1,3,78-0939-0006-00,"A-939 SUR-804 H LUEHLFING, ACRES 3.8",1.0,2016.0,unknown,Single Family,"{'2019': {'value': 400761, 'land': 161500, 'improvements': 239261}, '2020': {'value': 433760, 'land': 180880, 'improvements': 252880}, '2022': {'value': 604390, 'land': 280440, 'improvements': 323950}, '2023': {'value': 742360, 'land': 373920, 'improvements': 368440}}","{'2018': {'total': 2312}, '2019': {'total': 5999}, '2022': {'total': 6754}}",H LUEHLFING
"1331-Hinch-Dr,-New-Braunfels,-TX-78132",4,2,4,38-0300-0023-00,"NAKED INDIAN RESERVATION, BLOCK C, LOT 11C 15C BLOCK E, LOT 1E ETAL",1.0,1964.0,unknown,Single Family,"{'2019': {'value': 107720, 'land': 24505, 'improvements': 83215}, '2020': {'value': 151960, 'land': 79805, 'improvements': 72155}, '2022': {'value': 197225, 'land': 95580, 'improvements': 101645}, '2023': {'value': 265335, 'land': 137930, 'improvements': 127405}}","{'2018': {'total': 1802}, '2022': {'total': 3320}}",NAKED INDIAN RESERVATION
"187-Madrona-Dr,-New-Braunfels,-TX-78132",5,0,0,Uknown,unknown,0.0,0.0,unknown,unknown,unknown,unknown,unknown
"1171-Hinch-Dr,-New-Braunfels,-TX-78132",6,3,5,38-0300-0036-00,"NAKED INDIAN RESERVATION, BLOCK E, LOT 2E",1.0,1984.0,unknown,Manufactured,"{'2019': {'value': 205910, 'land': 27820, 'improvements': 178090}, '2022': {'value': 338790, 'land': 115670, 'improvements': 223120}, '2023': {'value': 425680, 'land': 208210, 'improvements': 217470}}","{'2017': {'total': 276}, '2018': {'total': 1167}}",NAKED INDIAN RESERVATION
"1501-Old-Sattler-Rd,-New-Braunfels,-TX-78132",7,4,6,38-0300-0034-00,"NAKED INDIAN RESERVATION, BLOCK D, LOT 7D, .318AC A-939 SUR-804 H LUEHLFING & ETAL, ACRES 1.799",0.0,1974.0,unknown,Single Family,"{'2019': {'value': 192800, 'land': 22580, 'improvements': 170220}, '2020': {'value': 238150, 'land': 82620, 'improvements': 155530}, '2022': {'value': 341180, 'land': 99110, 'improvements': 242070}, '2023': {'value': 405880, 'land': 142780, 'improvements': 263100}}","{'2018': {'total': 1167}, '2019': {'total': 3582}, '2022': {'total': 5744}}",NAKED INDIAN RESERVATION
"1250-Hinch-Dr,-New-Braunfels,-TX-78132",8,0,0,Uknown,unknown,0.0,0.0,unknown,unknown,unknown,unknown,unknown
"7106-FM-2673,-Canyon-Lake,-TX-78133",9,0,7,Uknown,unknown,0.0,0.0,unknown,Apartment,unknown,unknown,unknown
